name,symbol,state_id,,gen_date,gen_delegates,trump_delegates,cruz,rubio,casich,rep_date,rep_contest_type,rep_delegates,,dem_date,rep_contest_type,dem_total_delegates,dem_super_delegates,dem_pledged_delegates,,dem_clinton,dem_sanders,dem_clinton_pledged,dem_clinton_super,dem_clinton)toal,dem_sanders_pledged,dem_sanders_super,dem_sanders_total,dem_other_pledged,dem_other_super,dem_other_total,"dem_sanders_pledged,","dem_clinton_pledged,",,"['name'], ['symbol']"
South Dakota,SD,47,,11/08/16,3,,,,,06/07/16,primary,29,,06/07/16,primary,25,5,20,,–,–,–,1,1,–,0,0,20,4,24,"–,","–,",,"['South Dakota','SD']"
Tennessee,TN,48,,11/08/16,11,,,,,03/01/16,primary,58,,03/01/16,primary,76,9,67,,"245,304 (66.1%)","120,333 (32.4%)",44,5,49,23,0,23,0,3,3,"23,","44,",,"['Tennessee','TN']"
Texas,TX,49,,11/08/16,38,,,,,03/01/16,primary,155,,03/01/16,primary,252,30,222,,"935,080 (65.2%)","475,561 (33.2%)",147,20,167,75,0,75,0,9,9,"75,","147,",,"['Texas','TX']"
Utah,UT,50,,11/08/16,6,,,,,03/22/16,caucus,40,,03/22/16,caucus,37,4,33,,"15,666 (20.3%)","61,333 (79.3%)",6,2,8,27,2,29,0,0,0,"27,","6,",,"['Utah','UT']"
Vermont,VT,51,,11/08/16,3,,,,,03/01/16,primary,16,,03/01/16,primary,26,10,16,,"18,335 (13.6%)","115,863 (86.1%)",0,3,3,16,6,22,0,1,1,"16,","0,",,"['Vermont','VT']"
Virgin Islands,VI,52,,11/08/16,,,,,,03/10/16,caucus,9,,06/04/16,caucus,12,5,7,,–,–,–,1,1,–,1,1,7,3,10,"–,","–,",,"['Virgin Islands','VI']"
Virginia,VA,53,,11/08/16,13,,,,,03/01/16,primary,49,,03/01/16,primary,110,15,95,,"503,358 (64.3%)","275,507 (35.2%)",62,13,75,33,0,33,0,1,1,"33,","62,",,"['Virginia','VA']"
Washington,WA,54,,11/08/16,12,,,,,05/24/16,primary,44,,03/26/16,caucus,118,17,101,,"7,140 (27.1%)","19,159 (72.7%)",27,10,37,74,0,74,0,7,7,"74,","27,",,"['Washington','WA']"
West Virginia,WV,55,,11/08/16,5,,,,,05/10/16,primary,34,,05/10/16,primary,37,8,29,,–,–,–,4,4,–,1,1,29,3,32,"–,","–,",,"['West Virginia','WV']"
Wisconsin,WI,56,,11/08/16,10,,,,,04/05/16,primary,42,,04/05/16,primary,96,10,86,,"432,767 (43.1%)","567,936 (56.6%)",38,6,44,48,1,49,0,3,3,"48,","38,",,"['Wisconsin','WI']"
Wyoming,WY,57,,11/08/16,3,,,,,03/01/16,caucus,29,,04/09/16,caucus,18,4,14,,124 (44.3%),156 (55.7%),7,4,11,7,0,7,0,0,0,"7,","7,",,"['Wyoming','WY']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['','']"
